"Study","Label","X0hr.vs..1hr","X0hr.vs..24hr","X1hr.vs..24hr","X0hr.vs..1hr.1","X0hr.vs..24hr.1","X1hr.vs..24hr.1","Label.1","X0hr.vs..1hr.2","X0hr.vs..24hr.2","X1hr.vs..24hr.2","X0hr.vs..1hr.3","X0hr.vs..24hr.3","X1hr.vs..24hr.3","Label.2","X0hr.vs..1hr.4","X0hr.vs..24hr.4","X1hr.vs..24hr.4"
"RP:CB Lot 1","Z =","14.86","9.922","4.742","12.61","8.328","0.6853","W =","270378","300774","281679","187682","185804","166122","W =","303897","272441","235077"
"RP:CB Lot 1","p =","1.36e-55","3.67e-24","1.92e-06","7.11e-40","2.22e-17","4.93e-01","p =","1.03e-02","7.16e-11","5.45e-05","6.38e-04","2.03e-03","7.16e-01","p =","7.78e-50","5.18e-24","7.45e-06"
"RP:CB Lot 1","n =","708","708","708","580","579","580","n =","1416","1416","1416","1160","1160","1160","n =","1288","1288","1288"
"RP:CB Lot 2","Z =","11.83","12.77","10.04"," 7.05","8.156","4.436","W =","274696","324564","308954","174695","184470","173608","W =","278646","292865","272028"
"RP:CB Lot 2","p =","2.83e-34","3.77e-40","9.91e-25","9.29e-13","1.03e-16","8.35e-06","p =","3.95e-02","4.74e-17","1.45e-10","6.02e-02","2.89e-04","9.18e-02","p =","1.10e-27","7.40e-39","3.73e-23"
"RP:CB Lot 2","n =","719","719","719","572","572","573","n =","1438","1438","1438","1146","1146","1146","n =","1292","1292","1292"
"Lin et al., 2012","Z =","21.17","23.26","23.26","-1.998","3.179","5.806","W =","318799","400999","372714","127104","132082","136443","W =","349351","368182","332069"
"Lin et al., 2012","p =","1.05e-130","3.33e-184","3.33e-184","4.57e-02","1.44e-03","4.11e-09","p =","6.67e-05","1.16e-42","4.11e-25","2.36e-01","9.97e-01","2.95e-01","p =","1.27e-130","1.14e-163","5.72e-104"
"Lin et al., 2012","n =","755","755","755","274","276","236","n =","1510","1510","1510","1028","1028","1028","n =","1269","1269","1269"
