"Gene","Accession","Measure","final.mean","Time","Lot","ID","Status"
"SEPT5","NM_002688","Mean_0HR_C1",0.020085825,"0HR","C1","NM_002688.C1","Silent"
"SEPT9","NM_006640","Mean_0HR_C1",31.896175,"0HR","C1","NM_006640.C1","Active"
"AATK","NM_001080395","Mean_0HR_C1",0.011992574,"0HR","C1","NM_001080395.C1","Silent"
"ABCE1","NM_001040876","Mean_0HR_C1",5.52781,"0HR","C1","NM_001040876.C1","Active"
"ABL1","NM_005157","Mean_0HR_C1",5.3109625,"0HR","C1","NM_005157.C1","Active"
"ABL2","NM_001136000","Mean_0HR_C1",1.8369125,"0HR","C1","NM_001136000.C1","Active"
"ACLY","NM_001096","Mean_0HR_C1",13.173035,"0HR","C1","NM_001096.C1","Active"
"ACO1","NM_002197","Mean_0HR_C1",1.3533125,"0HR","C1","NM_002197.C1","Active"
"ACSL6","NM_001009185","Mean_0HR_C1",0.016319923,"0HR","C1","NM_001009185.C1","Silent"
"ACVR1B","NM_004302","Mean_0HR_C1",0.676582625,"0HR","C1","NM_004302.C1",NA
"ADAMTSL3","NM_207517","Mean_0HR_C1",0.0125504,"0HR","C1","NM_207517.C1","Silent"
"ADRBK1","NM_001619","Mean_0HR_C1",11.98679,"0HR","C1","NM_001619.C1","Active"
"AHCY","NM_001161766","Mean_0HR_C1",3.8262925,"0HR","C1","NM_001161766.C1","Active"
"AIMP2","NM_006303","Mean_0HR_C1",1.017267,"0HR","C1","NM_006303.C1","Active"
"AK2","NM_013411","Mean_0HR_C1",18.5473,"0HR","C1","NM_013411.C1","Active"
"AK3","NM_016282","Mean_0HR_C1",9.97394,"0HR","C1","NM_016282.C1","Active"
"AKT3","NM_005465","Mean_0HR_C1",15.7308,"0HR","C1","NM_005465.C1","Active"
"ALK","NM_004304","Mean_0HR_C1",0.0212174765,"0HR","C1","NM_004304.C1","Silent"
"ANGPTL4","NR_104213","Mean_0HR_C1",0.012542825,"0HR","C1","NR_104213.C1","Silent"
"APC","NM_000038","Mean_0HR_C1",2.824785,"0HR","C1","NM_000038.C1","Active"
"AR","NM_001011645","Mean_0HR_C1",0.0163306,"0HR","C1","NM_001011645.C1","Silent"
"ARAF","NM_001654","Mean_0HR_C1",1.95856,"0HR","C1","NM_001654.C1","Active"
"ATF2","NM_001880","Mean_0HR_C1",4.00035,"0HR","C1","NM_001880.C1","Active"
"ATIC","NM_004044","Mean_0HR_C1",5.78101,"0HR","C1","NM_004044.C1","Active"
"ATM","NM_138292","Mean_0HR_C1",6.0825675,"0HR","C1","NM_138292.C1","Active"
"AURKA","NM_003600","Mean_0HR_C1",0.90667025,"0HR","C1","NM_003600.C1",NA
"AURKB","NM_004217","Mean_0HR_C1",1.80000275,"0HR","C1","NM_004217.C1","Active"
"AURKC","NM_001015878","Mean_0HR_C1",0.0695412625,"0HR","C1","NM_001015878.C1","Silent"
"AXL","NM_021913","Mean_0HR_C1",0.011738174,"0HR","C1","NM_021913.C1","Silent"
"BAP1","NM_004656","Mean_0HR_C1",5.0366975,"0HR","C1","NM_004656.C1","Active"
"BIRC3","NM_182962","Mean_0HR_C1",1.12256875,"0HR","C1","NM_182962.C1","Active"
"BMI1","NM_005180","Mean_0HR_C1",1.62612,"0HR","C1","NM_005180.C1","Active"
"BMPR1A","NM_004329","Mean_0HR_C1",4.612905,"0HR","C1","NM_004329.C1","Active"
"BMPR2","NM_001204","Mean_0HR_C1",1.68738125,"0HR","C1","NM_001204.C1","Active"
"BMX","NM_203281","Mean_0HR_C1",0.013445164,"0HR","C1","NM_203281.C1","Silent"
"BRAF","NM_004333","Mean_0HR_C1",4.79782125,"0HR","C1","NM_004333.C1","Active"
"BRCA1","NM_007305","Mean_0HR_C1",2.2304075,"0HR","C1","NM_007305.C1","Active"
"BRCA2","NM_000059","Mean_0HR_C1",1.27976175,"0HR","C1","NM_000059.C1","Active"
"BRD1","NM_014577","Mean_0HR_C1",2.5961575,"0HR","C1","NM_014577.C1","Active"
"BRD2","NM_005104","Mean_0HR_C1",22.564925,"0HR","C1","NM_005104.C1","Active"
"BRD3","NM_007371","Mean_0HR_C1",3.8288825,"0HR","C1","NM_007371.C1","Active"
"BRD4","NM_014299","Mean_0HR_C1",17.68015,"0HR","C1","NM_014299.C1","Active"
"BRD7","NM_001173984","Mean_0HR_C1",2.287525,"0HR","C1","NM_001173984.C1","Active"
"BRD8","NM_001164326","Mean_0HR_C1",3.14254,"0HR","C1","NM_001164326.C1","Active"
"BRD9","NM_001009877","Mean_0HR_C1",4.857375,"0HR","C1","NM_001009877.C1","Active"
"BRDT","NM_001242805","Mean_0HR_C1",0.011287498,"0HR","C1","NM_001242805.C1","Silent"
"BTK","NM_000061","Mean_0HR_C1",19.5131016666667,"0HR","C1","NM_000061.C1","Active"
"BUB1B","NM_001211","Mean_0HR_C1",0.87973225,"0HR","C1","NM_001211.C1",NA
"C17orf75","NM_022344","Mean_0HR_C1",1.7150205,"0HR","C1","NM_022344.C1","Active"
"C1orf57","NM_032324","Mean_0HR_C1",3.929445,"0HR","C1","NM_032324.C1","Active"
"CAD","NM_004341","Mean_0HR_C1",2.4997175,"0HR","C1","NM_004341.C1","Active"
"CALCR","NM_001742","Mean_0HR_C1",0.017571075,"0HR","C1","NM_001742.C1","Silent"
"CALM3","NM_005184","Mean_0HR_C1",14.7433875,"0HR","C1","NM_005184.C1","Active"
"CAMK1D","NM_153498","Mean_0HR_C1",14.4274575,"0HR","C1","NM_153498.C1","Active"
"CAMK2D","NM_172127","Mean_0HR_C1",8.56455875,"0HR","C1","NM_172127.C1","Active"
"CAMK2G","NM_001222","Mean_0HR_C1",3.8579925,"0HR","C1","NM_001222.C1","Active"
"CAMKK2","NM_006549","Mean_0HR_C1",0.4680955,"0HR","C1","NM_006549.C1","Silent"
"CANT1","NM_001159772","Mean_0HR_C1",3.484265,"0HR","C1","NM_001159772.C1","Active"
"CARS","NM_001014437","Mean_0HR_C1",2.090795,"0HR","C1","NM_001014437.C1","Active"
"CCNB1IP1","NM_182849","Mean_0HR_C1",4.4607125,"0HR","C1","NM_182849.C1","Active"
"CCND1","NM_053056","Mean_0HR_C1",0.0742672,"0HR","C1","NM_053056.C1","Silent"
"CCR7","NM_001838","Mean_0HR_C1",0.2704985,"0HR","C1","NM_001838.C1","Silent"
"CCR8","NM_005201","Mean_0HR_C1",0.0131737755,"0HR","C1","NM_005201.C1","Silent"
"CDC42BPG","NM_017525","Mean_0HR_C1",0.075649275,"0HR","C1","NM_017525.C1","Silent"
"CDC7","NM_003503","Mean_0HR_C1",1.316188,"0HR","C1","NM_003503.C1","Active"
"CDH1","NM_004360","Mean_0HR_C1",0.017600695,"0HR","C1","NM_004360.C1","Silent"
"CDK1","NM_001786","Mean_0HR_C1",2.2200675,"0HR","C1","NM_001786.C1","Active"
"CDK10","NM_052987","Mean_0HR_C1",2.62265625,"0HR","C1","NM_052987.C1","Active"
"CDK14","NM_001287135","Mean_0HR_C1",29.45995,"0HR","C1","NM_001287135.C1","Active"
"CDK19","NM_015076","Mean_0HR_C1",1.96676,"0HR","C1","NM_015076.C1","Active"
"CDK4","NM_000075","Mean_0HR_C1",1.211660875,"0HR","C1","NM_000075.C1","Active"
"CDKN1A","NM_000389","Mean_0HR_C1",15.07323875,"0HR","C1","NM_000389.C1","Active"
"CDKN2A","NM_000077","Mean_0HR_C1",0.076798925,"0HR","C1","NM_000077.C1","Silent"
"CEBPA","NM_004364","Mean_0HR_C1",1.58179075,"0HR","C1","NM_004364.C1","Active"
"CHEK1","NM_001114121","Mean_0HR_C1",0.96657125,"0HR","C1","NM_001114121.C1",NA
"CHEK2","NM_001005735","Mean_0HR_C1",1.22907675,"0HR","C1","NM_001005735.C1","Active"
"CHKA","NM_212469","Mean_0HR_C1",7.0993675,"0HR","C1","NM_212469.C1","Active"
"CIB4","NM_001029881","Mean_0HR_C1",0.027644325,"0HR","C1","NM_001029881.C1","Silent"
"CLTC","NM_004859","Mean_0HR_C1",4.82989625,"0HR","C1","NM_004859.C1","Active"
"CNR2","NM_001841","Mean_0HR_C1",6.6727125,"0HR","C1","NM_001841.C1","Active"
"COX6C","NM_004374","Mean_0HR_C1",31.07835,"0HR","C1","NM_004374.C1","Active"
"CREBBP","NM_004380","Mean_0HR_C1",13.3222375,"0HR","C1","NM_004380.C1","Active"
"CRKL","NM_005207","Mean_0HR_C1",9.8977475,"0HR","C1","NM_005207.C1","Active"
"CS","NM_004077","Mean_0HR_C1",11.5637675,"0HR","C1","NM_004077.C1","Active"
"CSF1R","NM_005211","Mean_0HR_C1",0.01909255,"0HR","C1","NM_005211.C1","Silent"
"CSK","NM_004383","Mean_0HR_C1",23.7179625,"0HR","C1","NM_004383.C1","Active"
"CSNK1D","NM_001893","Mean_0HR_C1",12.13835125,"0HR","C1","NM_001893.C1","Active"
"CSNK1E","NM_152221","Mean_0HR_C1",6.16676375,"0HR","C1","NM_152221.C1","Active"
"CSNK2A1","NM_177559","Mean_0HR_C1",6.48982875,"0HR","C1","NM_177559.C1","Active"
"CSNK2B","NM_001320","Mean_0HR_C1",20.252575,"0HR","C1","NM_001320.C1","Active"
"CTNNB1","NM_001098210","Mean_0HR_C1",31.3054,"0HR","C1","NM_001098210.C1","Active"
"CUBN","NM_001081","Mean_0HR_C1",0.047786025,"0HR","C1","NM_001081.C1","Silent"
"CXCR5","NM_001716","Mean_0HR_C1",0.059147225,"0HR","C1","NM_001716.C1","Silent"
"CXCR7","NM_020311","Mean_0HR_C1",0.0288945,"0HR","C1","NM_020311.C1","Silent"
"DAPK2","NM_014326","Mean_0HR_C1",5.25311,"0HR","C1","NM_014326.C1","Active"
"DBN1","NM_004395","Mean_0HR_C1",0.9741995,"0HR","C1","NM_004395.C1",NA
"DCK","NM_000788","Mean_0HR_C1",6.10399,"0HR","C1","NM_000788.C1","Active"
"DDAH2","NM_013974","Mean_0HR_C1",3.7410325,"0HR","C1","NM_013974.C1","Active"
"DDR1","NM_001954","Mean_0HR_C1",1.06387575,"0HR","C1","NM_001954.C1","Active"
"DDR2","NM_006182","Mean_0HR_C1",0.01379945,"0HR","C1","NM_006182.C1","Silent"
"DDX21","NM_004728","Mean_0HR_C1",3.9597975,"0HR","C1","NM_004728.C1","Active"
"DDX5","NM_004396","Mean_0HR_C1",54.9203,"0HR","C1","NM_004396.C1","Active"
"DDX6","NM_004397","Mean_0HR_C1",19.882625,"0HR","C1","NM_004397.C1","Active"
"DGKZ","NM_001105540","Mean_0HR_C1",8.36832,"0HR","C1","NM_001105540.C1","Active"
"DHX36","NM_001114397","Mean_0HR_C1",8.9246475,"0HR","C1","NM_001114397.C1","Active"
"DLAT","NM_001931","Mean_0HR_C1",3.71311,"0HR","C1","NM_001931.C1","Active"
"DLG1","NM_001098424","Mean_0HR_C1",9.4250575,"0HR","C1","NM_001098424.C1","Active"
"DLST","NM_001244883","Mean_0HR_C1",1.64014575,"0HR","C1","NM_001244883.C1","Active"
"DNMT3A","NM_022552","Mean_0HR_C1",6.658805,"0HR","C1","NM_022552.C1","Active"
"DYRK1A","NM_130437","Mean_0HR_C1",10.6313975,"0HR","C1","NM_130437.C1","Active"
"DYRK2","NM_003583","Mean_0HR_C1",5.490525,"0HR","C1","NM_003583.C1","Active"
"EBNA1BP2","NM_006824","Mean_0HR_C1",0.80182075,"0HR","C1","NM_006824.C1",NA
"EEF1A2","NM_001958","Mean_0HR_C1",2.2634675,"0HR","C1","NM_001958.C1","Active"
"EEF2K","NM_013302","Mean_0HR_C1",2.33075625,"0HR","C1","NM_013302.C1","Active"
"EGFR","NM_201282","Mean_0HR_C1",0.05282925,"0HR","C1","NM_201282.C1","Silent"
"EPHA1","NM_005232","Mean_0HR_C1",0.0077806275,"0HR","C1","NM_005232.C1","Silent"
"EPHA3","NM_005233","Mean_0HR_C1",0.01378624,"0HR","C1","NM_005233.C1","Silent"
"EPHA4","NM_004438","Mean_0HR_C1",0.01700945,"0HR","C1","NM_004438.C1","Silent"
"EPHA5","NM_004439","Mean_0HR_C1",0.018274975,"0HR","C1","NM_004439.C1","Silent"
"EPHA8","NM_020526","Mean_0HR_C1",0.01425579,"0HR","C1","NM_020526.C1","Silent"
"EPHB1","NM_004441","Mean_0HR_C1",0.015132225,"0HR","C1","NM_004441.C1","Silent"
"EPHB6","NM_004445","Mean_0HR_C1",0.018566274,"0HR","C1","NM_004445.C1","Silent"
"ERBB2","NM_001005862","Mean_0HR_C1",5.6614525,"0HR","C1","NM_001005862.C1","Active"
"ERBB4","NM_001042599","Mean_0HR_C1",0.024661049,"0HR","C1","NM_001042599.C1","Silent"
"ERN1","NM_001433","Mean_0HR_C1",1.243159375,"0HR","C1","NM_001433.C1","Active"
"ETNK2","NM_018208","Mean_0HR_C1",0.007522823,"0HR","C1","NM_018208.C1","Silent"
"EXOSC10","NM_001001998","Mean_0HR_C1",1.929495,"0HR","C1","NM_001001998.C1","Active"
"EXOSC7","NM_015004","Mean_0HR_C1",3.5301075,"0HR","C1","NM_015004.C1","Active"
"EZH2","NM_004456","Mean_0HR_C1",3.766495,"0HR","C1","NM_004456.C1","Active"
"FASN","NM_004104","Mean_0HR_C1",1.11109925,"0HR","C1","NM_004104.C1","Active"
"FBXW7","NM_018315","Mean_0HR_C1",1.9257225,"0HR","C1","NM_018315.C1","Active"
"FES","NM_002005","Mean_0HR_C1",0.760409,"0HR","C1","NM_002005.C1",NA
"FGFR2","NM_000141","Mean_0HR_C1",0.02266481,"0HR","C1","NM_000141.C1","Silent"
"FGFR3","NM_022965","Mean_0HR_C1",0.071750475,"0HR","C1","NM_022965.C1","Silent"
"FGFR4","NM_002011","Mean_0HR_C1",0.208998625,"0HR","C1","NM_002011.C1","Silent"
"FGR","NM_001042747","Mean_0HR_C1",4.8167425,"0HR","C1","NM_001042747.C1","Active"
"FH","NM_000143","Mean_0HR_C1",2.8184425,"0HR","C1","NM_000143.C1","Active"
"FLNB","NM_001164317","Mean_0HR_C1",10.69522,"0HR","C1","NM_001164317.C1","Active"
"FLT3","NM_004119","Mean_0HR_C1",0.0171478525,"0HR","C1","NM_004119.C1","Silent"
"FLT4","NM_002020","Mean_0HR_C1",0.0137565665,"0HR","C1","NM_002020.C1","Silent"
"FN3KRP","NM_024619","Mean_0HR_C1",3.0192375,"0HR","C1","NM_024619.C1","Active"
"FUK","NM_145059","Mean_0HR_C1",0.151261675,"0HR","C1","NM_145059.C1","Silent"
"FYN","NM_002037","Mean_0HR_C1",2.60699,"0HR","C1","NM_002037.C1","Active"
"GATA1","NM_002049","Mean_0HR_C1",0.00501087,"0HR","C1","NM_002049.C1","Silent"
"GLS2","NM_013267","Mean_0HR_C1",0.02134395,"0HR","C1","NM_013267.C1","Silent"
"GMPS","NM_003875","Mean_0HR_C1",1.2594765,"0HR","C1","NM_003875.C1","Active"
"GNAQ","NM_002072","Mean_0HR_C1",0.020090623,"0HR","C1","NM_002072.C1","Silent"
"GNAS","NM_080425","Mean_0HR_C1",27.838925,"0HR","C1","NM_080425.C1","Active"
"GPHN","NM_020806","Mean_0HR_C1",0.43072175,"0HR","C1","NM_020806.C1","Silent"
"GPI","NM_000175","Mean_0HR_C1",21.08018,"0HR","C1","NM_000175.C1","Active"
"GPR128","NM_032787","Mean_0HR_C1",0.011286623,"0HR","C1","NM_032787.C1","Silent"
"GPR162","NM_014449","Mean_0HR_C1",0.035189875,"0HR","C1","NM_014449.C1","Silent"
"GPR172A","NM_024531","Mean_0HR_C1",1.9383825,"0HR","C1","NM_024531.C1","Active"
"GPR183","NM_004951","Mean_0HR_C1",15.049875,"0HR","C1","NM_004951.C1","Active"
"GPR19","NM_006143","Mean_0HR_C1",0.032670675,"0HR","C1","NM_006143.C1","Silent"
"GPR35","NM_005301","Mean_0HR_C1",0.447182,"0HR","C1","NM_005301.C1","Silent"
"GPR89A","NM_001097612","Mean_0HR_C1",5.822955,"0HR","C1","NM_001097612.C1","Active"
"GPRC5D","NM_018654","Mean_0HR_C1",0.022607798,"0HR","C1","NM_018654.C1","Silent"
"GRM5","NM_000842","Mean_0HR_C1",0.012553698,"0HR","C1","NM_000842.C1","Silent"
"GSG2","NM_031965","Mean_0HR_C1",1.205528875,"0HR","C1","NM_031965.C1","Active"
"GSK3A","NM_019884","Mean_0HR_C1",4.95214875,"0HR","C1","NM_019884.C1","Active"
"GUCY1A2","NM_000855","Mean_0HR_C1",0.023872175,"0HR","C1","NM_000855.C1","Silent"
"GUSB","NM_000181","Mean_0HR_C1",1.60369016666667,"0HR","C1","NM_000181.C1","Active"
"H6PD","NM_004285","Mean_0HR_C1",1.910455,"0HR","C1","NM_004285.C1","Active"
"HACE1","NM_020771","Mean_0HR_C1",0.25867225,"0HR","C1","NM_020771.C1","Silent"
"HCK","NM_002110","Mean_0HR_C1",14.3508875,"0HR","C1","NM_002110.C1","Active"
"HECTD3","NM_024602","Mean_0HR_C1",3.59499,"0HR","C1","NM_024602.C1","Active"
"HERC4","NM_015601","Mean_0HR_C1",4.87651,"0HR","C1","NM_015601.C1","Active"
"HIPK1","NM_152696","Mean_0HR_C1",7.7178825,"0HR","C1","NM_152696.C1","Active"
"HIPK2","NM_022740","Mean_0HR_C1",0.1234163625,"0HR","C1","NM_022740.C1","Silent"
"HIPK4","NM_144685","Mean_0HR_C1",0.0283411375,"0HR","C1","NM_144685.C1","Silent"
"HK1","NM_000188","Mean_0HR_C1",4.9920825,"0HR","C1","NM_000188.C1","Active"
"HKDC1","NM_025130","Mean_0HR_C1",0.013800748,"0HR","C1","NM_025130.C1","Silent"
"HNF1A","NM_000545","Mean_0HR_C1",0.0163162,"0HR","C1","NM_000545.C1","Silent"
"HNRNPA2B1","NM_002137","Mean_0HR_C1",74.874,"0HR","C1","NM_002137.C1","Active"
"HOXB7","NM_004502","Mean_0HR_C1",0.010036948,"0HR","C1","NM_004502.C1","Silent"
"HPRT1","NM_000194","Mean_0HR_C1",4.82499083333333,"0HR","C1","NM_000194.C1","Active"
"HRAS","NM_005343","Mean_0HR_C1",0.397603375,"0HR","C1","NM_005343.C1","Silent"
"HRH1","NM_000861","Mean_0HR_C1",0.020089375,"0HR","C1","NM_000861.C1","Silent"
"HSPE1","NM_002157","Mean_0HR_C1",0.139888125,"0HR","C1","NM_002157.C1","Silent"
"IARS","NM_002161","Mean_0HR_C1",10.51779,"0HR","C1","NM_002161.C1","Active"
"IDH1","NM_005896","Mean_0HR_C1",3.237835,"0HR","C1","NM_005896.C1","Active"
"IDH2","NM_002168","Mean_0HR_C1",7.403525,"0HR","C1","NM_002168.C1","Active"
"IGF1R","NM_000875","Mean_0HR_C1",3.529587875,"0HR","C1","NM_000875.C1","Active"
"ILK","NM_004517","Mean_0HR_C1",4.93409725,"0HR","C1","NM_004517.C1","Active"
"INPP4A","NM_001134224","Mean_0HR_C1",17.0499975,"0HR","C1","NM_001134224.C1","Active"
"INPP4B","NM_003866","Mean_0HR_C1",0.1740075,"0HR","C1","NM_003866.C1","Silent"
"INSR","NM_000208","Mean_0HR_C1",15.6543375,"0HR","C1","NM_000208.C1","Active"
"IRAK2","NM_001570","Mean_0HR_C1",0.2956625,"0HR","C1","NM_001570.C1","Silent"
"IRAK4","NM_001114182","Mean_0HR_C1",6.5545525,"0HR","C1","NM_001114182.C1","Active"
"ITK","NM_005546","Mean_0HR_C1",0.025419199,"0HR","C1","NM_005546.C1","Silent"
"ITPK1","NM_001142593","Mean_0HR_C1",10.2389325,"0HR","C1","NM_001142593.C1","Active"
"ITPKB","NM_002221","Mean_0HR_C1",5.0813525,"0HR","C1","NM_002221.C1","Active"
"JAK1","NM_002227","Mean_0HR_C1",14.6350966666667,"0HR","C1","NM_002227.C1","Active"
"JAK2","NM_004972","Mean_0HR_C1",12.7855191666667,"0HR","C1","NM_004972.C1","Active"
"JAK3","NM_000215","Mean_0HR_C1",5.5233625,"0HR","C1","NM_000215.C1","Active"
"JNK3","NM_138981","Mean_0HR_C1",0.5383405,"0HR","C1","NM_138981.C1",NA
"JUN","NM_002228","Mean_0HR_C1",3.27063,"0HR","C1","NM_002228.C1","Active"
"KDSR","NM_002035","Mean_0HR_C1",0.10455455,"0HR","C1","NM_002035.C1","Silent"
"KHK","NM_000221","Mean_0HR_C1",0.139899075,"0HR","C1","NM_000221.C1","Silent"
"KIAA1524","NM_020890","Mean_0HR_C1",1.8876025,"0HR","C1","NM_020890.C1","Active"
"KIT","NM_000222","Mean_0HR_C1",0.0244883076666667,"0HR","C1","NM_000222.C1","Silent"
"KRAS","NM_004985","Mean_0HR_C1",3.3610625,"0HR","C1","NM_004985.C1","Active"
"KSR1","NM_014238","Mean_0HR_C1",0.877396125,"0HR","C1","NM_014238.C1",NA
"KSR2","NM_173598","Mean_0HR_C1",0.0135128665,"0HR","C1","NM_173598.C1","Silent"
"LATS2","NM_014572","Mean_0HR_C1",2.173495,"0HR","C1","NM_014572.C1","Active"
"LDHA","NM_001165414","Mean_0HR_C1",69.17375,"0HR","C1","NM_001165414.C1","Active"
"LDHAL6B","NM_033195","Mean_0HR_C1",0.042760775,"0HR","C1","NM_033195.C1","Silent"
"LDHB","NM_001174097","Mean_0HR_C1",19.01975,"0HR","C1","NM_001174097.C1","Active"
"LDHC","NM_002301","Mean_0HR_C1",0.022604575,"0HR","C1","NM_002301.C1","Silent"
"LGR4","NM_018490","Mean_0HR_C1",0.100765275,"0HR","C1","NM_018490.C1","Silent"
"LGR5","NM_003667","Mean_0HR_C1",0.03645025,"0HR","C1","NM_003667.C1","Silent"
"LIMK1","NM_002314","Mean_0HR_C1",12.422445,"0HR","C1","NM_002314.C1","Active"
"LIMK2","NM_001031801","Mean_0HR_C1",1.628121125,"0HR","C1","NM_001031801.C1","Active"
"LLGL1","NM_004140","Mean_0HR_C1",0.33076725,"0HR","C1","NM_004140.C1","Silent"
"LLGL2","NM_001015002","Mean_0HR_C1",2.9493275,"0HR","C1","NM_001015002.C1","Active"
"LPAR1","NM_001401","Mean_0HR_C1",0.031418575,"0HR","C1","NM_001401.C1","Silent"
"LRP1B","NM_018557","Mean_0HR_C1",0.012544123,"0HR","C1","NM_018557.C1","Silent"
"LRP8","NM_033300","Mean_0HR_C1",0.338353,"0HR","C1","NM_033300.C1","Silent"
"LYN","NM_002350","Mean_0HR_C1",20.59467625,"0HR","C1","NM_002350.C1","Active"
"MAGI1","NM_004742","Mean_0HR_C1",0.196757675,"0HR","C1","NM_004742.C1","Silent"
"MAGI2","NM_012301","Mean_0HR_C1",0.02512105,"0HR","C1","NM_012301.C1","Silent"
"MAP2K4","NM_003010","Mean_0HR_C1",1.8593975,"0HR","C1","NM_003010.C1","Active"
"MAP2K6","NM_002758","Mean_0HR_C1",4.9470775,"0HR","C1","NM_002758.C1","Active"
"MAP2K7","NM_145185","Mean_0HR_C1",2.99747125,"0HR","C1","NM_145185.C1","Active"
"MAP3K12","NM_006301","Mean_0HR_C1",1.604155625,"0HR","C1","NM_006301.C1","Active"
"MAP3K14","NM_003954","Mean_0HR_C1",5.2404175,"0HR","C1","NM_003954.C1","Active"
"MAP3K5","NM_005923","Mean_0HR_C1",0.64900575,"0HR","C1","NM_005923.C1",NA
"MAP3K7","NM_145333","Mean_0HR_C1",4.22177125,"0HR","C1","NM_145333.C1","Active"
"MAP3K8","NM_005204","Mean_0HR_C1",1.68406475,"0HR","C1","NM_005204.C1","Active"
"MAPK14","NM_001315","Mean_0HR_C1",5.54997166666667,"0HR","C1","NM_001315.C1","Active"
"MAPK6","NM_002748","Mean_0HR_C1",2.65959875,"0HR","C1","NM_002748.C1","Active"
"MAPK8","NM_002750","Mean_0HR_C1",0.901933,"0HR","C1","NM_002750.C1",NA
"MAPK9","XM_005265940","Mean_0HR_C1",6.737825,"0HR","C1","XM_005265940.C1","Active"
"MAPKAPK5","NM_003668","Mean_0HR_C1",2.4748425,"0HR","C1","NM_003668.C1","Active"
"MARK2","NM_017490","Mean_0HR_C1",8.331145,"0HR","C1","NM_017490.C1","Active"
"MARK3","NM_002376","Mean_0HR_C1",2.8579825,"0HR","C1","NM_002376.C1","Active"
"MAST1","NM_014975","Mean_0HR_C1",0.11098455,"0HR","C1","NM_014975.C1","Silent"
"MAST2","NM_015112","Mean_0HR_C1",0.972031875,"0HR","C1","NM_015112.C1",NA
"MASTL","NM_001172303","Mean_0HR_C1",5.144855,"0HR","C1","NM_001172303.C1","Active"
"MAT2A","NM_005911","Mean_0HR_C1",30.120225,"0HR","C1","NM_005911.C1","Active"
"MAX","NM_002382","Mean_0HR_C1",26.5844,"0HR","C1","NM_002382.C1","Active"
"MC1R","NM_002386","Mean_0HR_C1",0.10833625,"0HR","C1","NM_002386.C1","Silent"
"MDH2","NM_005918","Mean_0HR_C1",8.6344425,"0HR","C1","NM_005918.C1","Active"
"ME1","NM_002395","Mean_0HR_C1",0.192983675,"0HR","C1","NM_002395.C1","Silent"
"ME3","NM_001014811","Mean_0HR_C1",0.011295073,"0HR","C1","NM_001014811.C1","Silent"
"MELK","NM_014791","Mean_0HR_C1",1.837282125,"0HR","C1","NM_014791.C1","Active"
"MEN1","NM_130802","Mean_0HR_C1",3.082795,"0HR","C1","NM_130802.C1","Active"
"MET","NM_001127500","Mean_0HR_C1",0.0125504,"0HR","C1","NM_001127500.C1","Silent"
"MGC42105","NM_153361","Mean_0HR_C1",0.0179068365,"0HR","C1","NM_153361.C1","Silent"
"MITF","NM_000248","Mean_0HR_C1",0.011290295,"0HR","C1","NM_000248.C1","Silent"
"MKNK1","NM_001135553","Mean_0HR_C1",5.0519825,"0HR","C1","NM_001135553.C1","Active"
"MLL3","NM_170606","Mean_0HR_C1",11.107575,"0HR","C1","NM_170606.C1","Active"
"MPL","NM_005373","Mean_0HR_C1",0.018832498,"0HR","C1","NM_005373.C1","Silent"
"MPP5","NM_022474","Mean_0HR_C1",2.4424825,"0HR","C1","NM_022474.C1","Active"
"MRGPRX3","NM_054031","Mean_0HR_C1",0.011293775,"0HR","C1","NM_054031.C1","Silent"
"MRPL3","NM_007208","Mean_0HR_C1",6.8638025,"0HR","C1","NM_007208.C1","Active"
"MSH2","NM_000251","Mean_0HR_C1",2.530115,"0HR","C1","NM_000251.C1","Active"
"MSH6","NM_000179","Mean_0HR_C1",3.90628,"0HR","C1","NM_000179.C1","Active"
"MST1R","NM_002447","Mean_0HR_C1",0.128410825,"0HR","C1","NM_002447.C1","Silent"
"MTOR","NM_004958","Mean_0HR_C1",3.32281125,"0HR","C1","NM_004958.C1","Active"
"MUSK","NM_005592","Mean_0HR_C1",0.0166209025,"0HR","C1","NM_005592.C1","Silent"
"MYC","NM_002467","Mean_0HR_C1",17.5441,"0HR","C1","NM_002467.C1","Active"
"MYCL1","NM_001033081","Mean_0HR_C1",0.09949965,"0HR","C1","NM_001033081.C1","Silent"
"MYCN","NM_005378","Mean_0HR_C1",0.0125504,"0HR","C1","NM_005378.C1","Silent"
"MYH1","NM_005963","Mean_0HR_C1",0.04654165,"0HR","C1","NM_005963.C1","Silent"
"MYH9","NM_002473","Mean_0HR_C1",38.560425,"0HR","C1","NM_002473.C1","Active"
"MYLK4","NM_001012418","Mean_0HR_C1",0.0161913615,"0HR","C1","NM_001012418.C1","Silent"
"MYST3","NM_001099412","Mean_0HR_C1",9.1424125,"0HR","C1","NM_001099412.C1","Active"
"NADK","NM_023018","Mean_0HR_C1",4.3538725,"0HR","C1","NM_023018.C1","Active"
"NCK2","NM_001004720","Mean_0HR_C1",1.2202215,"0HR","C1","NM_001004720.C1","Active"
"NCL","NM_005381","Mean_0HR_C1",7.40581,"0HR","C1","NM_005381.C1","Active"
"NEK3","NM_002498","Mean_0HR_C1",0.402674,"0HR","C1","NM_002498.C1","Silent"
"NEK6","NM_014397","Mean_0HR_C1",19.61589125,"0HR","C1","NM_014397.C1","Active"
