Timepoint,Replicate,Total Cells (x10^6),Concentration (ng/uL)
0,#1,0.5,21.97
0,#2,0.5,20.38
0,#3,0.5,21.43
1,#1,0.5,20.57
1,#2,0.5,21.43
1,#3,0.5,18.56
24,#1,0.5,29.34
24,#2,0.5,25.61
24,#3,0.5,27.12
