universe,species,isotope,n,top_model,top_weight,sex_evidence_weight,size_evidence_weight,sex_minus_size_weight,outlier_row_id,eligibility,sample_policy,size_metric,model_strategy,outlier_policy,uncertainty_method
inclusive_sample,Gentoo,delta_13c,118,size_year,0.6002359217035917,0.1389380297604198,0.7431231261734322,-0.6041850964130124,,all_sampled,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic
inclusive_sample,Gentoo,delta_15n,118,sex_year,0.5187510213437974,0.7292101429644142,0.2536894842643008,0.4755206587001134,,all_sampled,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic
joint_model,Adelie,delta_13c,125,joint_sex_size,1.0,1.0,1.0,0.0,ade-119,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,joint_sex_size,paper_like_single_exclusion,analytic
joint_model,Adelie,delta_15n,126,joint_sex_size,1.0,1.0,1.0,0.0,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,joint_sex_size,paper_like_single_exclusion,analytic
joint_model,Chinstrap,delta_13c,54,joint_sex_size,1.0,1.0,1.0,0.0,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,joint_sex_size,paper_like_single_exclusion,analytic
joint_model,Chinstrap,delta_15n,53,joint_sex_size,1.0,1.0,1.0,0.0,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,joint_sex_size,paper_like_single_exclusion,analytic
joint_model,Gentoo,delta_13c,111,joint_sex_size,1.0,1.0,1.0,0.0,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,joint_sex_size,paper_like_single_exclusion,analytic
joint_model,Gentoo,delta_15n,111,joint_sex_size,1.0,1.0,1.0,0.0,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,joint_sex_size,paper_like_single_exclusion,analytic
retain_outliers,Adelie,delta_13c,126,year,0.4010678530621148,0.185121570209407,0.413810576728478,-0.22868900651907098,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,retain_all,analytic
retain_outliers,Adelie,delta_15n,126,sex_year,0.4642605174518742,0.752218437347149,0.08923931988023445,0.6629791174669145,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,retain_all,analytic
retain_outliers,Chinstrap,delta_13c,54,year,0.2713567425376887,0.31499718748560346,0.2665523784937442,0.04844480899185927,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,retain_all,analytic
retain_outliers,Chinstrap,delta_15n,53,sex_year,0.8839748862404145,0.9710095962192807,0.009746683613825958,0.9612629126054548,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,retain_all,analytic
retain_outliers,Gentoo,delta_13c,111,size_year,0.694134723257744,0.1123368712826534,0.8187419552594232,-0.7064050839767697,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,retain_all,analytic
retain_outliers,Gentoo,delta_15n,111,sex_year,0.4720582074219009,0.7623091730556704,0.20890352364294765,0.5534056494127227,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,retain_all,analytic
shared_complete_cases,Adelie,delta_13c,125,year,0.4465297583358256,0.20811906931036991,0.3453511723538043,-0.1372321030434344,ade-119,complete_clutch_only,shared_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic
shared_complete_cases,Adelie,delta_15n,126,sex_year,0.4642605174518742,0.752218437347149,0.08923931988023445,0.6629791174669145,,complete_clutch_only,shared_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic
shared_complete_cases,Chinstrap,delta_13c,53,,0.2803081513012995,0.2617975483008845,0.21623786312045618,0.0455596851804283,,complete_clutch_only,shared_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic
shared_complete_cases,Chinstrap,delta_15n,53,sex_year,0.8839748862404145,0.9710095962192807,0.009746683613825958,0.9612629126054548,,complete_clutch_only,shared_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic
shared_complete_cases,Gentoo,delta_13c,111,size_year,0.694134723257744,0.1123368712826534,0.8187419552594232,-0.7064050839767697,,complete_clutch_only,shared_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic
shared_complete_cases,Gentoo,delta_15n,111,sex_year,0.4720582074219009,0.7623091730556704,0.20890352364294765,0.5534056494127227,,complete_clutch_only,shared_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic
standardized_pc1,Adelie,delta_13c,125,year,0.5239015722770278,0.2441806074446048,0.23191782027836721,0.012262787166237576,ade-119,complete_clutch_only,endpoint_complete_cases,paper_pc1_standardized,paper_aicc_candidates,paper_like_single_exclusion,analytic
standardized_pc1,Adelie,delta_15n,126,sex_year,0.4586824783115463,0.7431806154177112,0.10018200944828776,0.6429986059694235,,complete_clutch_only,endpoint_complete_cases,paper_pc1_standardized,paper_aicc_candidates,paper_like_single_exclusion,analytic
standardized_pc1,Chinstrap,delta_13c,54,year,0.2475292235069324,0.2873376518895589,0.33095555858821335,-0.04361790669865445,,complete_clutch_only,endpoint_complete_cases,paper_pc1_standardized,paper_aicc_candidates,paper_like_single_exclusion,analytic
standardized_pc1,Chinstrap,delta_15n,53,sex_year,0.8771158683385082,0.9634752507225248,0.01743034672489302,0.9460449039976317,,complete_clutch_only,endpoint_complete_cases,paper_pc1_standardized,paper_aicc_candidates,paper_like_single_exclusion,analytic
standardized_pc1,Gentoo,delta_13c,111,sex_year,0.3533122423058412,0.4062503777071011,0.34450596409230294,0.061744413614798155,,complete_clutch_only,endpoint_complete_cases,paper_pc1_standardized,paper_aicc_candidates,paper_like_single_exclusion,analytic
standardized_pc1,Gentoo,delta_15n,111,sex_year,0.5182420469456473,0.8368897310511747,0.13150655831654773,0.7053831727346269,,complete_clutch_only,endpoint_complete_cases,paper_pc1_standardized,paper_aicc_candidates,paper_like_single_exclusion,analytic
